architechure = vgg8, prune_ratio = 40, bit = 7, direction = br, acc = 0.8426
architechure = vgg8, prune_ratio = 40, bit = 8, direction = br, acc = 0.8453
architechure = vgg8, prune_ratio = 50, bit = 4, direction = br, acc = 0.7998
architechure = vgg8, prune_ratio = 50, bit = 5, direction = br, acc = 0.8346
architechure = vgg8, prune_ratio = 50, bit = 6, direction = br, acc = 0.8285
architechure = vgg8, prune_ratio = 50, bit = 7, direction = br, acc = 0.842
architechure = vgg8, prune_ratio = 50, bit = 8, direction = br, acc = 0.8425
architechure = vgg8, prune_ratio = 10, bit = 4, direction = tl, acc = 0.5749
architechure = vgg8, prune_ratio = 10, bit = 5, direction = tl, acc = 0.6736
architechure = vgg8, prune_ratio = 10, bit = 6, direction = tl, acc = 0.6819
